pool,age_center_years,age_bin_lower_years,age_bin_upper_years,athletes,observations,median_annual_performance_elo_change,bootstrap_se_annual_performance_elo_change,bootstrap_draws,minimum_athletes,age_assignment_status,source_scope,source_window_start,source_window_end,source_as_of_date,method,status,research_only
Boulder_Men,14,13.5,14.5,84,84,-123.6328998604296,84.75167405152543,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2013-07-22,2025-05-15,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,15,14.5,15.5,247,247,-272.248343612771,52.621567236655274,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2013-05-25,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,16,15.5,16.5,274,274,-160.9237884886664,45.960962042916954,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2004-11-24,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,17,16.5,17.5,329,329,-177.01590889589866,44.325269093982435,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-08-27,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,18,17.5,18.5,341,341,-145.1741945051311,47.140310905515264,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-02,2026-07-18,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,19,18.5,19.5,310,310,-110.97947715229745,35.580173937660994,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-10,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,20,19.5,20.5,203,203,-185.4879326018876,39.03513038285286,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-12-06,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,21,20.5,21.5,178,178,-94.16187173601693,44.73927146675703,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-05-26,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,22,21.5,22.5,158,158,-168.90587161492238,59.47022771133497,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-08-27,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,23,22.5,23.5,152,152,-24.46249296777649,54.71354423570364,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-08-27,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,24,23.5,24.5,142,142,-218.54048254137047,53.46696223519683,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-05-26,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,25,24.5,25.5,107,107,-136.77792076636712,95.07746850227333,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2001-06-29,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,26,25.5,26.5,106,106,-80.02061142600536,62.25321663834916,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2002-06-13,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,27,26.5,27.5,79,79,-126.27167386153592,78.38827838761661,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2003-05-30,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,28,27.5,28.5,63,63,-141.39150125253897,70.98723672402977,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1998-08-13,2026-07-25,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,29,28.5,29.5,63,63,-281.92636086237064,46.8180212862815,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1998-07-16,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,30,29.5,30.5,57,57,-67.97691240911564,72.04412777320168,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-16,2025-11-22,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,31,30.5,31.5,33,33,-72.99884911708541,120.24856935261687,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,1999-07-02,2024-11-11,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Men,32,31.5,32.5,26,26,-167.3146735515514,88.5200814090884,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2000-07-11,2026-07-17,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
Boulder_Women,14,13.5,14.5,109,109,-168.72056859016251,72.69728760904736,2000,20,FULL_SOURCE_INTERVAL_WITHIN_CENTERED_BIN,IFSC,2013-05-25,2025-05-24,2026-07-25,median_within_interval_safe_centered_age_year_segment_min_0_20_years_bootstrap_se,RESEARCH_AGGREGATE_MIN_20_NOT_CAUSAL,True
