model,evaluation_domain,selected_pairwise_scale,tuning_pairwise_brier,evaluation_pairwise_brier,tuning_pairwise_logloss,evaluation_pairwise_logloss,evaluation_spearman,evaluation_top_8_brier
hier_level_balanced,CEC national,400,0.23087222259931825,0.2140074646486303,0.6575627284676528,0.621566092720671,0.6121428730385822,0.1953737384210165
hier_level_balanced,CEC other,400,0.22976162262690059,0.2085453405636916,0.6540578439360433,0.6172682302726055,0.6574661160777006,0.18611307041558453
hier_level_balanced,CEC provincial / local,400,0.2303678086556245,0.21503747697326328,0.658201302382213,0.6261734492647713,0.6260296247648062,0.21291691926550116
hier_level_balanced,Open WC+,400,0.16293252311475417,0.1529634643360243,0.5040105770437636,0.4826187819517606,0.7914030079362948,0.1300033891859598
hier_level_balanced,Other,400,0.21025863195969458,0.22459148447148294,0.6196392639757405,0.6485923732905889,0.7028216545918703,0.21687245457598125
hier_level_balanced_provisional_e3_sd120,CEC national,400,0.22625505183762987,0.17935644051606933,0.6580677576163741,0.5380393108628336,0.6360202069506296,0.12781726827688145
hier_level_balanced_provisional_e3_sd120,CEC other,400,0.2350401286016616,0.19911925368884723,0.6727192078240182,0.5991680354888864,0.5632843478763605,0.1380230077171259
hier_level_balanced_provisional_e3_sd120,CEC provincial / local,400,0.2269358413897772,0.19770845840745963,0.6732994345911144,0.5956469921730022,0.6050973935936607,0.17205375604964326
hier_level_balanced_provisional_e3_sd120,Open WC+,400,0.15359647792368916,0.14697765620913913,0.4725535649686102,0.4555498978882711,0.7514363788098657,0.1139379155530499
hier_level_balanced_provisional_e3_sd120,Other,400,0.2086075068873752,0.19469422956863489,0.6359874522688552,0.591117662605389,0.6877419544112595,0.16760541401000176
hier_level_conservative,CEC national,400,0.23192705321687127,0.21675165464739782,0.6597126710800757,0.6271874740976128,0.5849830678945016,0.1986711102468253
hier_level_conservative,CEC other,400,0.23274444897357585,0.21322123514388486,0.6602008617190251,0.6271725604741482,0.6658141053465354,0.19593968265552697
hier_level_conservative,CEC provincial / local,400,0.23089418572927567,0.21551291823588525,0.6593018393961846,0.62721405308406,0.6263146552432849,0.21333900242603812
hier_level_conservative,Open WC+,400,0.16423493432263267,0.1539104325890886,0.5074535957171129,0.48534937007921924,0.7990267941393024,0.12990247921785975
hier_level_conservative,Other,400,0.21060045288971915,0.2247408507698583,0.6203121856075865,0.6489013041535305,0.7023524021400356,0.2171315887875885
hier_level_strong,CEC national,400,0.22994425322283948,0.21189036911124184,0.6556598020169403,0.6171750707222591,0.6273101777072393,0.19348331773127508
hier_level_strong,CEC other,400,0.2275886756870117,0.2053008855868562,0.6495280637010219,0.610244815871132,0.6531997475139703,0.17810442355031003
hier_level_strong,CEC provincial / local,400,0.22999122971632602,0.21475664524835716,0.6574120784062238,0.625558210771206,0.6260200616930863,0.2126191023270418
hier_level_strong,Open WC+,400,0.1616668499335917,0.15206428744554304,0.5005578484005758,0.4798765962116423,0.7871916714972917,0.12955968923891575
hier_level_strong,Other,400,0.2099125957684723,0.22445810755978476,0.6189234585445221,0.6483074451166306,0.702730943071383,0.21664538400432573
hier_source_balanced,CEC national,400,0.22322432811679108,0.19453092968340638,0.6414237634948085,0.578508607725467,0.6327331609390203,0.164778487578424
hier_source_balanced,CEC other,400,0.2231051845988977,0.20293864762203492,0.6396514168341755,0.6021606542483382,0.5595450801627133,0.14292631637903624
hier_source_balanced,CEC provincial / local,400,0.22883711464989825,0.21349191859051614,0.6549211145619475,0.6225895996917812,0.6227338163893479,0.21152858443836217
hier_source_balanced,Open WC+,400,0.16317551979226036,0.15312690761623676,0.5048870595813508,0.4834198077977705,0.7960080866162412,0.13066877329380003
hier_source_balanced,Other,400,0.21014025115518817,0.22434195066327223,0.6192541661166576,0.6480047430515797,0.7012931658250583,0.2163453556700474
hier_source_balanced_anchored_cap200_e4_sd100,CEC national,250,0.22574747161332523,0.18455294775952097,0.6461532766171549,0.5519066755589889,0.6161121243545148,0.16941656361564333
hier_source_balanced_anchored_cap200_e4_sd100,CEC other,400,0.2277587583068796,0.19335339251893716,0.6487755740685038,0.5809206414105749,0.5826616652893672,0.15591277295682054
hier_source_balanced_anchored_cap200_e4_sd100,CEC provincial / local,250,0.22735529129850734,0.20422515389730228,0.651841826600289,0.6002823615025685,0.5770428070546502,0.20686213162263067
hier_source_balanced_anchored_cap200_e4_sd100,Open WC+,250,0.14896940107462164,0.1399882054811338,0.45775933029872135,0.43639508974011026,0.7754669657318786,0.12776513068938986
hier_source_balanced_anchored_cap200_e4_sd100,Other,250,0.2026159913695477,0.20387313198384982,0.598501677491118,0.6027761131914214,0.6696759866746187,0.2032493085596474
hier_source_balanced_anchored_cap400_e4_sd100,CEC national,400,0.22596882870067928,0.18631825953666653,0.6470274568408102,0.5583643866439282,0.6288176465775409,0.15506070055999016
hier_source_balanced_anchored_cap400_e4_sd100,CEC other,600,0.22674922607941173,0.1961423608301229,0.6460787976907515,0.5868844878597184,0.5738389683177598,0.14299055934507596
hier_source_balanced_anchored_cap400_e4_sd100,CEC provincial / local,350,0.22664687070346143,0.20137515148315666,0.6513533694100228,0.594976240885028,0.5935202224205012,0.19620628901890547
hier_source_balanced_anchored_cap400_e4_sd100,Open WC+,350,0.15155887049289768,0.14661960381096317,0.46520960462090016,0.45624176425994034,0.7583764746202355,0.12372873312109706
hier_source_balanced_anchored_cap400_e4_sd100,Other,350,0.20216232268775072,0.20004409730497383,0.5983403489869726,0.5945621600360724,0.677175642416342,0.19215695822264797
hier_source_balanced_anchored_e4_sd100,CEC national,350,0.2259348175372701,0.1862170111380208,0.6467869994063303,0.5577870344023118,0.6278366139645553,0.15934119101923097
hier_source_balanced_anchored_e4_sd100,CEC other,500,0.22738251967175885,0.1944461542132056,0.6475456933556377,0.5831187358490469,0.5800981689381224,0.14611695154705376
hier_source_balanced_anchored_e4_sd100,CEC provincial / local,300,0.22666085664098243,0.20160764695528752,0.6510040347859888,0.5950172971103803,0.587807899503582,0.19977893314864056
hier_source_balanced_anchored_e4_sd100,Open WC+,300,0.15008840377863758,0.14355937038556627,0.4609578031894833,0.447039891697784,0.7644575331387478,0.12472370070834785
hier_source_balanced_anchored_e4_sd100,Other,300,0.2021166362803336,0.20067058589008133,0.5977950019107635,0.59570652154228,0.6756527152810577,0.19620662595841637
hier_source_balanced_provisional_e2_sd140,CEC national,600,0.21696302346825222,0.1744714258611915,0.6253880287453802,0.525379563088446,0.6502690430124005,0.12034493681296436
hier_source_balanced_provisional_e2_sd140,CEC other,600,0.22727996283521487,0.1935713755535469,0.6466955747705995,0.578737162562461,0.5952413474127973,0.13377457482555533
hier_source_balanced_provisional_e2_sd140,CEC provincial / local,600,0.21962765172129797,0.19628342424530854,0.6381834317168023,0.5810249386157814,0.5890681765998154,0.17433141600669483
hier_source_balanced_provisional_e2_sd140,Open WC+,500,0.15756057388315975,0.15102643030628637,0.48099358186715285,0.465961844420239,0.7386460857604302,0.1159617316864651
hier_source_balanced_provisional_e2_sd140,Other,600,0.20601531886804994,0.193747892951386,0.6118874831489913,0.5784254259794044,0.6829865314853524,0.16923042207674438
hier_source_balanced_provisional_e3_sd120,CEC national,600,0.21622119650483493,0.17237981496391752,0.6236215174295191,0.5205632646185354,0.6655717349621575,0.12411496131380732
hier_source_balanced_provisional_e3_sd120,CEC other,600,0.2235636548955431,0.1884470602951793,0.6380137453050261,0.5666986072188477,0.6180726214293344,0.13065636489055008
hier_source_balanced_provisional_e3_sd120,CEC provincial / local,600,0.2192339296695769,0.19320773822764462,0.6369128909173293,0.5739684742980112,0.609825617113323,0.1715163248106192
hier_source_balanced_provisional_e3_sd120,Open WC+,500,0.15300157602470538,0.148030447437061,0.4687535021146616,0.45814974047666157,0.7499050473099339,0.11433957450500579
hier_source_balanced_provisional_e3_sd120,Other,600,0.2017168296916763,0.19150139185032833,0.6007966214983044,0.5719323630018497,0.6894782340771137,0.16740265352652678
hier_source_balanced_provisional_e4_sd100,CEC national,600,0.21440767150263842,0.17015553478715556,0.6198138358756529,0.5156526532302174,0.6741233551612006,0.12185694410583307
hier_source_balanced_provisional_e4_sd100,CEC other,600,0.21938476784951289,0.19058349786556472,0.6292127523855474,0.5722235539771108,0.607922754744709,0.13331808442723286
hier_source_balanced_provisional_e4_sd100,CEC provincial / local,600,0.21677258655423187,0.19031954142863733,0.6308469488095108,0.5669790917693849,0.6225032408355011,0.16872638198146506
hier_source_balanced_provisional_e4_sd100,Open WC+,500,0.1504837612919073,0.14557160831758414,0.46168921309441474,0.4520363534161699,0.7557726690755028,0.1133971975203303
hier_source_balanced_provisional_e4_sd100,Other,600,0.19795960136665383,0.1898264582941834,0.5913619631583259,0.5673390703255661,0.6965241828160187,0.16630918280939316
hier_source_balanced_provisional_soft_e3_sd120,CEC national,600,0.21637363665841444,0.1721601083561747,0.6239045868438374,0.5197767554121066,0.6631302317730073,0.12226824786636138
hier_source_balanced_provisional_soft_e3_sd120,CEC other,600,0.224187936838835,0.1889753050427132,0.6394255581399418,0.5676411473408285,0.6124225498193978,0.13175361590707516
hier_source_balanced_provisional_soft_e3_sd120,CEC provincial / local,600,0.21904649904087006,0.19334353114179045,0.6364429174776673,0.5742614603418078,0.6086148423701668,0.1713714075383683
hier_source_balanced_provisional_soft_e3_sd120,Open WC+,500,0.153801832179005,0.14895879917722984,0.4708550043368378,0.4605600924032206,0.7467046890495369,0.11456115230062829
hier_source_balanced_provisional_soft_e3_sd120,Other,600,0.20212496199761973,0.1915605217786986,0.60179865007852,0.5720926979204594,0.6890474169119088,0.16744862985682823
hier_source_conservative,CEC national,400,0.22323702152106842,0.19435758816528642,0.6414339011794072,0.5780021599195467,0.6320575117551369,0.16403216407131765
hier_source_conservative,CEC other,400,0.223709421971927,0.2036483268957798,0.640929168279096,0.6035516468255151,0.547104974621058,0.14198044639506077
hier_source_conservative,CEC provincial / local,400,0.22888821140455348,0.2134544091926036,0.6550220906405702,0.6224648263803403,0.6216917675203701,0.21149220639469932
hier_source_conservative,Open WC+,400,0.16465195859070988,0.15437307585638102,0.5087473193801569,0.48685794211768635,0.8049849910625159,0.1314317455857572
hier_source_conservative,Other,400,0.21037553015850927,0.22442508108542142,0.6196845200871988,0.6481592073690474,0.701090828919341,0.2164379530943821
hier_source_strong,CEC national,400,0.22322127901908229,0.19482641601496153,0.6414331098861874,0.5792712710885747,0.6321635356847058,0.16527643800350764
hier_source_strong,CEC other,400,0.22247861542684955,0.2019393229735287,0.6383085264143402,0.60010112056974,0.5706693409092665,0.14259989178499569
hier_source_strong,CEC provincial / local,400,0.22877963247533448,0.2135375919725066,0.654807274873287,0.6227248963184829,0.6230265221131833,0.21160815333742358
hier_source_strong,Open WC+,400,0.16176594898357458,0.1519775610076028,0.5010361661077612,0.48001766540955626,0.7893755659701418,0.1298224562246599
hier_source_strong,Other,400,0.20996136990121753,0.22426990904587224,0.6189191779489523,0.6478610120885938,0.7014613279536596,0.21625838593491378
quality_a0.35_transfer_1.00,CEC national,400,0.22590058665096044,0.20188486278087245,0.6472658593536385,0.5957921457735755,0.6310072819380744,0.17770920743895188
quality_a0.35_transfer_1.00,CEC other,400,0.2212123313425655,0.19821370501533958,0.6357587510857613,0.5933094583689905,0.6031156296254241,0.14985829217315355
quality_a0.35_transfer_1.00,CEC provincial / local,400,0.23180248326369923,0.21991697056668502,0.6611469666084592,0.6367564681743731,0.6131142245927376,0.218231890960495
quality_a0.35_transfer_1.00,Open WC+,400,0.15954605773063407,0.15253866334845703,0.49364399815080257,0.4782720671165303,0.7608209374296973,0.12938001016351902
quality_a0.35_transfer_1.00,Other,400,0.21392559815416845,0.22741406947789214,0.6277019487895535,0.6544979333900703,0.6976085307325193,0.2189765028225633
quality_a0.50_transfer_0.20,CEC national,250,0.21999704071425874,0.19090575446635086,0.6340481284952777,0.5684053478161822,0.6257234554888017,0.18169200548385178
quality_a0.50_transfer_0.20,CEC other,250,0.2168806341697426,0.1957252647116195,0.625059194514935,0.5841019094302191,0.5753221545804625,0.14877014721366374
quality_a0.50_transfer_0.20,CEC provincial / local,250,0.22864987495333838,0.21426224962698112,0.6542700285799314,0.6234817675726521,0.6012904431242142,0.22199694725970195
quality_a0.50_transfer_0.20,Open WC+,250,0.15010374130992396,0.1367718126956788,0.46376145859916906,0.43128060487203157,0.794795933027447,0.12447320674637039
quality_a0.50_transfer_0.20,Other,250,0.2082717055988524,0.22412067630811258,0.613850870530847,0.646815863940163,0.6924500272459868,0.222183604202261
quality_a0.50_transfer_0.35,CEC national,400,0.2282416625439382,0.20489334541166535,0.6521470295388417,0.6021583284344134,0.6252304490287084,0.18232293040010297
quality_a0.50_transfer_0.35,CEC other,400,0.2236844578394678,0.20221393635853455,0.6411111323764228,0.6017220940747104,0.5867524582602405,0.15094165921338326
quality_a0.50_transfer_0.35,CEC provincial / local,400,0.23438916906098364,0.22366061269813076,0.6664641460719228,0.6445740328779326,0.6019149281456222,0.2220128857053692
quality_a0.50_transfer_0.35,Open WC+,400,0.1595645504393936,0.1498593523562172,0.49512240916477807,0.4740674381334768,0.7914514154008621,0.12552451234238773
quality_a0.50_transfer_0.35,Other,400,0.21707589967998792,0.23043865039566225,0.6343661708244348,0.6606653759936522,0.6931751516293443,0.222156730177776
quality_a0.50_transfer_0.50,CEC national,400,0.22828781209004068,0.2052446936622201,0.6522572279164633,0.603024299252082,0.6254503064869006,0.18308123551928104
quality_a0.50_transfer_0.50,CEC other,400,0.22343672819775376,0.20154632076521106,0.6406017886759395,0.6004799674964532,0.6032505351411556,0.1532267696485709
quality_a0.50_transfer_0.50,CEC provincial / local,400,0.2344002396829167,0.223733342280391,0.6664906347484344,0.644759428708575,0.6035389934169395,0.22209371925880508
quality_a0.50_transfer_0.50,Open WC+,400,0.15964014337803076,0.1502219714672661,0.49516861274204543,0.4747578988628551,0.7873940642829717,0.1266434105708901
quality_a0.50_transfer_0.50,Other,400,0.21700277445052074,0.23043765204325245,0.634261540123842,0.6606959072025133,0.693710671417853,0.22209029329319016
quality_a0.50_transfer_0.70,CEC national,400,0.22844221290752253,0.20587756230743254,0.6525995690667027,0.6045020072578016,0.6237600701256454,0.18403379025592814
quality_a0.50_transfer_0.70,CEC other,400,0.22312483667458285,0.20069709518057127,0.6399587790331077,0.5988872998064916,0.6055851513170467,0.15578162987380578
quality_a0.50_transfer_0.70,CEC provincial / local,400,0.2344303208000395,0.223907742094092,0.6665603803526259,0.6451677252346498,0.6045451557568319,0.2222601368972394
quality_a0.50_transfer_0.70,Open WC+,400,0.1599371170869237,0.15111068992649546,0.4956265826650846,0.47646949056562504,0.7800863473055222,0.12793989361720154
quality_a0.50_transfer_0.70,Other,400,0.21702757957534424,0.23045942002712883,0.6343567106382395,0.6607717574760207,0.693543800279583,0.22198199983196085
quality_a0.50_transfer_1.00,CEC national,400,0.22869594818663253,0.20674827422260972,0.6531528300253931,0.6065263448284804,0.6266643900957395,0.1855227919046101
quality_a0.50_transfer_1.00,CEC other,400,0.22282656030855139,0.19967269525577735,0.6393266296675657,0.597016375164018,0.6150772065786965,0.1552050542940558
quality_a0.50_transfer_1.00,CEC provincial / local,400,0.23449580403208287,0.22424118072688418,0.6667055724777428,0.6459200089033322,0.6047545353036254,0.22258271492012413
quality_a0.50_transfer_1.00,Open WC+,400,0.16073616813560174,0.15311988104991045,0.4970474601853566,0.48039975580519145,0.763430255231945,0.13016603070268443
quality_a0.50_transfer_1.00,Other,400,0.21723733143097884,0.2305308726903716,0.6348248999242064,0.6609501162204862,0.694180735109168,0.22189346239099556
quality_a0.75_transfer_1.00,CEC national,400,0.2328658933624752,0.21463000278428196,0.6618063558535333,0.6234684673142075,0.6206130137727659,0.1979883400371163
quality_a0.75_transfer_1.00,CEC other,400,0.22576740304203083,0.20281151385840424,0.645670699125634,0.6044436302092892,0.6328581066350866,0.16468779545901932
quality_a0.75_transfer_1.00,CEC provincial / local,400,0.23809236015368057,0.23044911908098456,0.6740531135346366,0.658857165566068,0.5866879920704601,0.22857672445400565
