source_scope,year,pool,youth,rows,events,categories
IFSC,1998,Boulder_Men,False,371,6,1
IFSC,1998,Boulder_Women,False,143,6,1
SAC-CAS,1998,Boulder_Men,False,45,1,3
SAC-CAS,1998,Boulder_Women,False,5,1,1
IFSC,1999,Boulder_Men,False,323,8,1
IFSC,1999,Boulder_Women,False,208,8,1
SAC-CAS,1999,Boulder_Men,False,50,2,4
SAC-CAS,1999,Boulder_Women,False,10,1,1
IFSC,2000,Boulder_Men,False,364,8,1
IFSC,2000,Boulder_Women,False,207,8,1
SAC-CAS,2000,Boulder_Men,False,49,1,4
SAC-CAS,2000,Boulder_Women,False,5,1,1
SAC-CAS,2000,Boulder_Women,True,10,1,1
IFSC,2001,Boulder_Men,False,460,10,1
IFSC,2001,Boulder_Women,False,248,10,1
IFSC,2002,Boulder_Men,False,241,6,1
IFSC,2002,Boulder_Women,False,157,6,1
SAC-CAS,2002,Boulder_Men,False,198,3,5
SAC-CAS,2002,Boulder_Women,False,40,3,3
SAC-CAS,2002,Boulder_Women,True,26,3,1
IFSC,2003,Boulder_Men,False,455,12,1
IFSC,2003,Boulder_Women,False,253,12,1
SAC-CAS,2003,Boulder_Men,False,87,2,5
SAC-CAS,2003,Boulder_Women,False,38,2,5
IFSC,2004,Boulder_Men,False,391,10,1
IFSC,2004,Boulder_Women,False,225,10,1
SAC-CAS,2004,Boulder_Men,False,148,4,5
SAC-CAS,2004,Boulder_Women,False,63,4,5
IFSC,2005,Boulder_Men,False,330,6,1
IFSC,2005,Boulder_Women,False,208,6,1
SAC-CAS,2005,Boulder_Men,False,178,4,5
SAC-CAS,2005,Boulder_Women,False,86,4,5
IFSC,2006,Boulder_Men,False,394,9,1
IFSC,2006,Boulder_Women,False,254,9,1
SAC-CAS,2006,Boulder_Men,False,189,4,5
SAC-CAS,2006,Boulder_Women,False,76,4,5
IFSC,2007,Boulder_Men,False,907,13,2
IFSC,2007,Boulder_Women,False,636,13,2
SAC-CAS,2007,Boulder_Men,False,265,6,5
SAC-CAS,2007,Boulder_Women,False,107,6,5
IFSC,2008,Boulder_Men,False,739,9,1
IFSC,2008,Boulder_Women,False,557,9,1
SAC-CAS,2008,Boulder_Men,False,348,6,10
SAC-CAS,2008,Boulder_Women,False,190,6,10
DIGITALROCK,2009,Boulder_Men,True,40,1,2
DIGITALROCK,2009,Boulder_Women,True,26,1,2
IFSC,2009,Boulder_Men,False,595,7,1
IFSC,2009,Boulder_Women,False,461,7,1
SAC-CAS,2009,Boulder_Men,False,287,4,5
SAC-CAS,2009,Boulder_Women,False,203,4,5
DIGITALROCK,2010,Boulder_Men,True,92,2,3
DIGITALROCK,2010,Boulder_Women,True,84,2,3
IFSC,2010,Boulder_Men,False,857,10,1
IFSC,2010,Boulder_Women,False,609,10,1
SAC-CAS,2010,Boulder_Men,False,214,3,6
SAC-CAS,2010,Boulder_Women,False,150,3,6
DIGITALROCK,2011,Boulder_Men,True,83,2,3
DIGITALROCK,2011,Boulder_Women,True,69,2,3
IFSC,2011,Boulder_Men,False,900,10,1
IFSC,2011,Boulder_Men,True,189,2,3
IFSC,2011,Boulder_Women,False,652,10,1
IFSC,2011,Boulder_Women,True,158,2,3
SAC-CAS,2011,Boulder_Men,False,317,4,6
SAC-CAS,2011,Boulder_Women,False,237,4,6
DIGITALROCK,2012,Boulder_Men,True,125,3,4
DIGITALROCK,2012,Boulder_Women,True,117,3,4
IFSC,2012,Boulder_Men,False,765,9,1
IFSC,2012,Boulder_Men,True,348,3,3
IFSC,2012,Boulder_Women,False,564,9,1
IFSC,2012,Boulder_Women,True,256,3,3
SAC-CAS,2012,Boulder_Men,False,357,4,6
SAC-CAS,2012,Boulder_Women,False,203,4,6
DIGITALROCK,2013,Boulder_Men,True,434,8,7
DIGITALROCK,2013,Boulder_Women,True,346,8,8
IFSC,2013,Boulder_Men,False,838,12,4
IFSC,2013,Boulder_Men,True,362,4,3
IFSC,2013,Boulder_Women,False,727,12,2
IFSC,2013,Boulder_Women,True,337,4,3
SAC-CAS,2013,Boulder_Men,False,268,4,5
SAC-CAS,2013,Boulder_Women,False,204,4,5
DIGITALROCK,2014,Boulder_Men,True,578,12,9
DIGITALROCK,2014,Boulder_Women,True,518,12,9
IFSC,2014,Boulder_Men,False,864,11,1
IFSC,2014,Boulder_Men,True,530,4,3
IFSC,2014,Boulder_Women,False,766,11,1
IFSC,2014,Boulder_Women,True,454,4,3
SAC-CAS,2014,Boulder_Men,False,339,5,5
SAC-CAS,2014,Boulder_Women,False,278,5,5
DIGITALROCK,2015,Boulder_Men,True,647,15,8
DIGITALROCK,2015,Boulder_Women,True,675,15,8
IFSC,2015,Boulder_Men,False,785,9,1
IFSC,2015,Boulder_Men,True,662,4,3
IFSC,2015,Boulder_Women,False,633,9,1
IFSC,2015,Boulder_Women,True,561,4,3
SAC-CAS,2015,Boulder_Men,False,303,6,5
SAC-CAS,2015,Boulder_Women,False,314,6,5
DIGITALROCK,2016,Boulder_Men,True,753,17,9
DIGITALROCK,2016,Boulder_Women,True,750,17,9
IFSC,2016,Boulder_Men,False,1026,10,1
IFSC,2016,Boulder_Men,True,892,7,3
IFSC,2016,Boulder_Women,False,775,10,1
IFSC,2016,Boulder_Women,True,826,7,3
SAC-CAS,2016,Boulder_Men,False,458,6,6
