model,evaluation_domain,evaluation_window,competitions,athlete_starts,spearman,winner_logloss,pairwise_brier,pairwise_logloss,top_24_brier,top_16_brier,top_8_brier,top_3_brier,pairwise_brier_s250,pairwise_logloss_s250,pairwise_brier_s300,pairwise_logloss_s300,pairwise_brier_s350,pairwise_logloss_s350,pairwise_brier_s450,pairwise_logloss_s450,pairwise_brier_s500,pairwise_logloss_s500,pairwise_brier_s600,pairwise_logloss_s600
hier_level_balanced,CEC national,2022-2024 tuning,24,1306,0.511923566380515,3.651130092057315,0.23087222259931825,0.6575627284676528,0.2263138846621284,0.23311741828176136,0.2184839407043506,0.19332229174726723,,,,,,,,,,,,
hier_level_balanced,CEC national,2025+ locked evaluation,14,719,0.6121428730385822,3.451826524875156,0.2140074646486303,0.621566092720671,0.2208932820055512,0.2165424320434701,0.1953737384210165,0.15694426268395006,,,,,,,,,,,,
hier_level_balanced,CEC other,2022-2024 tuning,6,306,0.49707681675689813,3.4335217642069495,0.22976162262690059,0.6540578439360433,0.2382755452887365,0.23590582858759648,0.22313926171068663,0.183539678456636,,,,,,,,,,,,
hier_level_balanced,CEC other,2025+ locked evaluation,4,231,0.6574661160777006,3.578252602077376,0.2085453405636916,0.6172682302726055,0.22170344337389605,0.21573352360678835,0.18611307041558453,0.15116847780340675,,,,,,,,,,,,
hier_level_balanced,CEC provincial / local,2022-2024 tuning,124,2868,0.555630381875863,2.848674292944054,0.2303678086556245,0.658201302382213,0.09807459629083097,0.17331703487509006,0.22366802954447543,0.21733032705305935,,,,,,,,,,,,
hier_level_balanced,CEC provincial / local,2025+ locked evaluation,233,5930,0.6260296247648062,2.812201265019011,0.21503747697326328,0.6261734492647713,0.10957940389403753,0.17450287245268611,0.21291691926550116,0.19256850168863604,,,,,,,,,,,,
hier_level_balanced,Open WC+,2022-2024 tuning,69,2883,0.7392285502407311,3.0016315332891255,0.16293252311475417,0.5040105770437636,0.1646462375488424,0.16948635491584285,0.14053436179821283,0.09016797659767001,,,,,,,,,,,,
hier_level_balanced,Open WC+,2025+ locked evaluation,45,1831,0.7914030079362948,2.867927869593983,0.1529634643360243,0.4826187819517606,0.16393648740930017,0.1644258935185888,0.1300033891859598,0.08610018262286319,,,,,,,,,,,,
hier_level_balanced,Other,2022-2024 tuning,736,23350,0.6452469340086947,2.8744464286788913,0.21025863195969458,0.6196392639757405,0.12166984682012592,0.16856123305706366,0.19933358756923467,0.17964130051847785,,,,,,,,,,,,
hier_level_balanced,Other,2025+ locked evaluation,1922,47515,0.7028216545918703,2.819997591015107,0.22459148447148294,0.6485923732905889,0.08699439622066288,0.14799909733781527,0.21687245457598125,0.21326786653289645,,,,,,,,,,,,
hier_level_balanced_provisional_e3_sd120,CEC national,2022-2024 tuning,24,1306,0.472201075717066,3.5533587679974574,0.22625505183762987,0.6580677576163741,0.20552929103733242,0.21023022131228455,0.15643297862971214,0.08376359574283952,,,,,,,,,,,,
