discipline,gender,pool,cnr_rank,athlete_name,best_result_1,best_result_2,best_result_3,cnr_value,cnr_as_of,cnr_measure,source_url
Boulder,Men,Boulder_Men,1,OSCAR BAUDRAND,98.6,84.7,67.3,250.6,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,2,MATTHEW RODRIGUEZ,79.6,55.1,51.0,185.7,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,3,HUGO DORVAL,55.3,49.0,48.0,152.3,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,4,GUY MCNAMEE,48.2,43.4,30.8,122.3,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,5,VICTOR BAUDRAND,44.4,32.4,31.7,108.6,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,6,TJ FOLEY,39.3,34.8,29.2,103.2,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,7,DYLAN SMITH,50.6,33.6,9.8,94.0,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,8,KINDAR MCNAMEE,34.6,30.6,27.3,92.4,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,9,MAXIME THÉRIEN,38.9,28.5,15.2,82.5,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,10,IAN TAN,34.5,24.0,20.6,79.1,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,11,LOUKA BOIVIN,36.6,26.9,5.5,69.0,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,12,LEONARDO SANTOPRETE,25.1,22.8,20.5,68.3,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,13,EVAN LAU,18.3,18.0,16.6,52.9,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,14,ELLIOT SHINDO,26.8,6.5,6.2,39.5,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,15,DYLAN SHINTANI,28.7,5.5,4.3,38.4,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,16,ELIOTT ROBERT,16.5,8.8,5.5,30.7,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,17,SAMUEL TIUKUVAARA,30.6,,,30.6,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,18,JAKOB ELLIOTT,14.3,14.2,,28.5,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,19,ANTHONY MATTINA,21.2,6.8,,28.0,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,20,SEBASTIEN LAZURE,15.9,11.4,,27.3,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,21,LUCAS UCHIDA,25.3,,,25.3,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,22,DAWSON SHEPHERD,14.3,8.8,,23.0,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,23,FERNAND BAUDIN,17.7,4.3,,22.0,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,24,MILES SKORYNA,21.9,0.0,,21.9,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
Boulder,Men,Boulder_Men,25,PETER NUNAN,15.3,6.2,0.0,21.5,2026-07-29,Best 3 event points / 24 months (2026 transition),https://docs.google.com/spreadsheets/d/1SImQ0_wgaC1oj6kcfTEXgvTpwv6iG0kuq92ntaE9YcQ/gviz/tq?tqx=out:csv&sheet=CNR%20M
