snapshot_date,pool,cycle_phase,rank40_points,rank40_global_elo,median_top40_global_elo,ranked_athletes,events_365
1999-07-10,Boulder_Men,Early cycle,63.0,1595.045027445129,1847.3318046581421,53,2
1999-07-16,Boulder_Men,Early cycle,130.0,1559.7087332126175,1866.8644310099248,77,3
1999-07-16,Boulder_Women,Early cycle,81.5,1504.7731837444394,1822.2878325018564,49,3
1999-07-30,Boulder_Men,Early cycle,205.0,1635.5848869947122,1880.0433991314653,94,4
1999-07-30,Boulder_Women,Early cycle,120.0,1688.0825064856629,1836.247809885862,58,4
1999-08-12,Boulder_Men,Early cycle,226.0,1747.1718678789375,1879.1878646229666,99,5
1999-08-12,Boulder_Women,Early cycle,205.0,1840.3372065492451,1830.75685182717,59,5
1999-08-27,Boulder_Men,Early cycle,242.5,1752.863522551332,1870.0498724856184,119,6
1999-08-27,Boulder_Women,Early cycle,225.0,1594.2613537383586,1842.4994246964702,75,6
2000-05-26,Boulder_Men,Early cycle,260.0,1841.6951692706834,1880.597402438099,128,7
2000-05-26,Boulder_Women,Early cycle,350.0,1762.8532797245682,1829.2818897895,82,7
2000-05-31,Boulder_Men,Early cycle,283.0,1625.7747100569063,1906.8525635237768,151,8
2000-05-31,Boulder_Women,Early cycle,380.0,2163.9119482790984,1863.365127488714,93,8
2000-07-11,Boulder_Men,Early cycle,260.0,1841.6951692706834,1922.0394985950622,170,7
2000-07-11,Boulder_Women,Early cycle,325.0,2029.377453190329,1874.6644068764506,107,7
2000-08-03,Boulder_Men,Early cycle,233.0,1614.9507089498525,1919.1822473581951,158,6
2000-08-03,Boulder_Women,Early cycle,335.0,1649.1393093160934,1893.9065065402033,103,6
2000-08-31,Boulder_Men,Early cycle,216.5,1794.6654944150075,1895.0074479407672,133,5
2000-08-31,Boulder_Women,Early cycle,280.0,1832.901702154939,1867.2441247932447,82,5
2000-09-15,Boulder_Men,Early cycle,240.0,1700.5485154187222,1911.7449570485687,137,6
2000-09-15,Boulder_Women,Early cycle,280.0,1561.6612209296327,1882.4478363920364,86,6
2001-06-29,Boulder_Men,Early cycle,260.0,1998.3268387754429,1913.02705676825,136,5
2001-06-29,Boulder_Women,Early cycle,220.0,1592.6706868966971,1900.6895718717324,81,5
2001-07-11,Boulder_Men,Early cycle,292.0,1888.1707485621248,1903.372500874328,153,6
2001-07-11,Boulder_Women,Early cycle,290.0,1736.04697694867,1899.105244288874,94,6
2001-07-21,Boulder_Men,Early cycle,305.0,1849.801360817033,1934.3981910656466,139,6
2001-07-21,Boulder_Women,Early cycle,279.0,1679.54202307664,1890.4647732085307,79,6
2001-08-31,Boulder_Men,Early cycle,305.0,1849.801360817033,1891.9313581093206,128,6
2001-08-31,Boulder_Women,Early cycle,280.0,1758.235581900505,1881.90009449119,76,6
2001-09-05,Boulder_Men,Early cycle,334.5,1762.797263020672,1906.9828338397665,128,6
2001-09-05,Boulder_Women,Early cycle,257.0,1773.0380023023306,1890.1621764514157,76,6
2001-12-06,Boulder_Men,Early cycle,305.0,1915.8393884320262,1955.2949020308188,134,6
2001-12-06,Boulder_Women,Early cycle,240.0,1448.424508040272,1888.8149958698727,79,6
2002-06-13,Boulder_Men,Early cycle,378.0,1897.4374774680846,1956.7874622267973,144,7
2002-06-13,Boulder_Women,Early cycle,280.0,1890.687906010522,1889.1427264940946,89,7
2002-06-25,Boulder_Men,Early cycle,421.0,1721.676064636979,1943.7247198073999,158,8
2002-06-25,Boulder_Women,Early cycle,300.0,1721.3296723940527,1873.9912523471808,95,8
2002-09-13,Boulder_Men,Early cycle,185.5,1887.2262037320631,1957.756099071157,98,4
2002-09-13,Boulder_Women,Early cycle,205.0,1761.0983149522117,1866.7354729104263,67,4
2003-05-30,Boulder_Men,Early cycle,205.0,1734.028521270106,1914.0780410065358,91,4
2003-05-30,Boulder_Women,Early cycle,185.0,1689.069652444722,1858.3204178890767,57,4
2003-06-13,Boulder_Men,Early cycle,243.5,1456.8128844776475,1916.8750264642636,99,5
2003-06-13,Boulder_Women,Early cycle,205.0,1828.157297306206,1867.2327951358366,65,5
2003-06-24,Boulder_Men,Early cycle,260.0,1861.5043815984668,1916.736674967824,103,5
2003-06-24,Boulder_Women,Early cycle,205.0,1865.2552912389426,1875.4112004615329,66,5
2003-07-24,Boulder_Men,Early cycle,258.5,1711.288021083101,1927.383402788028,101,5
2003-07-24,Boulder_Women,Early cycle,205.0,1895.3920262782365,1906.5908365403748,67,5
2003-09-11,Boulder_Men,Early cycle,293.0,1881.3644304805248,1910.013300231219,105,6
2003-09-11,Boulder_Women,Early cycle,220.0,1884.9071499201118,1910.4011731967312,70,6
2003-12-04,Boulder_Men,Early cycle,293.0,1881.3644304805248,1919.085298324511,109,6
2003-12-04,Boulder_Women,Early cycle,240.0,1420.3472218602042,1890.518499733088,71,6
2004-04-02,Boulder_Men,Early cycle,338.0,1517.0391146731329,1907.878822640547,120,7
2004-04-02,Boulder_Women,Early cycle,280.0,1615.7279340218045,1903.7620033555863,75,7
2004-04-15,Boulder_Men,Early cycle,415.0,2148.6280099093447,1926.9706760732572,132,8
2004-04-15,Boulder_Women,Early cycle,315.0,1699.3203699972182,1920.8539035013318,81,8
2004-06-18,Boulder_Men,Early cycle,390.0,1773.6653010799935,1937.7122565250743,129,7
2004-06-18,Boulder_Women,Early cycle,303.33,1492.4382174854884,1870.8724730876484,76,7
2004-07-28,Boulder_Men,Early cycle,300.0,1791.3390992268378,1948.5180487324321,114,6
2004-07-28,Boulder_Women,Early cycle,300.0,1816.5413938684414,1855.8626061811087,61,6
2004-08-19,Boulder_Men,Early cycle,361.85,1711.0102837081783,1928.085960558884,120,7
2004-08-19,Boulder_Women,Early cycle,325.0,1819.9247130986512,1868.6707078297504,66,7
2004-09-24,Boulder_Men,Early cycle,357.0,1756.756277037315,1928.085960558884,133,7
