model,pool,fields,threshold_fields,competitions,athlete_results,rank_spearman,rank_mae,top_24_brier,top_16_brier,top_8_brier,top_3_brier,winner_logloss,mean_threshold_brier,top_24_fields,top_16_fields,top_8_fields,top_3_fields
Frozen production event-start IFSC Elo,Overall,202,202,23,6437,0.6350962202200531,4.806962996631105,0.11323440769426407,0.13745946006858664,0.12644419551737632,0.10094955524436941,2.1419804980381842,0.11952190463114912,100,137,157,202
Frozen production event-start IFSC Elo,Boulder_Men,47,47,12,1384,0.7042203659911785,4.410283089912131,0.1237458905319342,0.14393742404698406,0.11428397274968354,0.08660641662274329,1.6574206319078388,0.11714342598783628,25,35,35,47
Frozen production event-start IFSC Elo,Boulder_Women,45,45,12,1213,0.6489806815809416,4.107620520979468,0.10089714741389313,0.1352649576760524,0.12159343868907747,0.11715039331176569,2.4603390764436956,0.11872648427269718,25,34,34,45
Frozen production event-start IFSC Elo,Lead_Men,33,33,11,1167,0.5594252261235279,4.945344407840294,0.09565035515283093,0.1273528518962235,0.11831077674946609,0.12440542204172383,2.521747903770626,0.11642985146006109,12,22,22,33
Frozen production event-start IFSC Elo,Lead_Women,33,33,11,1118,0.632248158777574,4.717750682221889,0.10278651354528409,0.14527615640388647,0.1179465300948526,0.08494510148243962,1.8062877222531784,0.11273857538161569,14,22,22,33
Frozen production event-start IFSC Elo,Speed_Men,22,22,11,885,0.547383054909436,6.993993497408411,0.13038861971538315,0.12967775875671678,0.15605262304949014,0.10028747202329083,2.6369462599477744,0.12910161838622022,12,12,22,22
Frozen production event-start IFSC Elo,Speed_Women,22,22,11,670,0.6645136228172273,4.8241046242954555,0.1296571610606813,0.1367630282569271,0.14030928531348763,0.08793860082974708,1.9649108675655398,0.12366701886521077,12,12,22,22
Athlete-volatility latent-skill challenger,Overall,202,202,23,6437,0.6406345441264085,4.798153592874934,0.11365615252539749,0.1384820246367963,0.12773233269437975,0.09982203852608373,2.152283116417978,0.11992313709566432,100,137,157,202
Athlete-volatility latent-skill challenger,Boulder_Men,47,47,12,1384,0.7011728504536202,4.4308881057691485,0.12309734883409788,0.14348645297376422,0.11781583778435378,0.08754337748744986,1.6740495585782351,0.11798575426991645,25,35,35,47
Athlete-volatility latent-skill challenger,Boulder_Women,45,45,12,1213,0.663777623070935,4.042103790322726,0.09953934863524287,0.13503222086647557,0.12084897190669196,0.11288848362292232,2.4141005911110294,0.11707725625783318,25,34,34,45
Athlete-volatility latent-skill challenger,Lead_Men,33,33,11,1167,0.5957140618740145,4.8136860764006855,0.09516449115563243,0.12846413897011527,0.11792033265819817,0.1199428143037602,2.548225665574863,0.11537294427192651,12,22,22,33
Athlete-volatility latent-skill challenger,Lead_Women,33,33,11,1118,0.6067824131800399,4.832687609135055,0.10437986934457655,0.14915749177502022,0.12274136312380887,0.0854271836014973,1.8267745451894641,0.11542647696122575,14,22,22,33
Athlete-volatility latent-skill challenger,Speed_Men,22,22,11,885,0.5652130812240027,6.988580745595823,0.13300615744705724,0.13171628240000974,0.15440550689073235,0.10221756014305744,2.6494173492272535,0.1303363767202142,12,12,22,22
Athlete-volatility latent-skill challenger,Speed_Women,22,22,11,670,0.6575449745595663,4.863704827239845,0.1333609884791569,0.13922039554217336,0.14227629122442934,0.08834250105938671,2.035642955683445,0.12580004407628656,12,12,22,22
