event_date,event_name,source_scope,event_tier,rating_context,direct_context_head,classification_reason,all_results_update_shared_skill,direct_label_controls_input_eligibility
1991-04-25,UIAA Worldcup - Wien 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-08-29,UIAA Worldcup - Clusone 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-09-19,UIAA Worldcup - Innsbruck 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-10-01,UIAA World Championship - Frankfurt 1991,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-10-15,UIAA Worldcup - Tokio 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-10-30,UIAA Worldcup - Nürnberg 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1991-12-04,UIAA Worldcup - Birmingham 1991,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-01-29,Masters Chambery 1992,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1992-02-26,UIAA Youth Worldchampionship - Basel 1992,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1992-04-30,UIAA Worldcup - Zürich 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-07-20,Masters Serre Chevalier 1992,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1992-08-31,UIAA Masters - Rock Masters Arco 1992,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1992-09-17,UIAA European Championship - Frankfurt 1992,IFSC,Continental championship,Senior / Open,IFSC_REG:EUROPE,direct IFSC regional/continental evidence,True,False
1992-10-07,UIAA Worldcup - Kobe 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-10-29,UIAA Worldcup - Nürnberg 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-11-13,UIAA Worldcup - St. Pölten 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-11-19,UIAA Worldcup - Laval 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1992-12-10,UIAA Worldcup - Birmingham 1992,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-04-01,UIAA Worldcup - Frankfurt 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-04-24,Swiss Cup - Brunnen '93,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1993-04-29,UIAA World Championship - Innsbruck 1993,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-05-14,UIAA Worldcup - Zürich 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-05-20,Jeux de Pyrinae - Ainsa 1993,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1993-05-27,UIAA Worldcup - Toulon 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-07-10,Schweizer Meisterschaft Wengen '93,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1993-07-21,Masters Serre-Chevalier 1993,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1993-08-26,UIAA Worldcup - Black See 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-09-10,UIAA Masters - Rock Masters Arco 1993,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1993-09-24,Swiss Cup - Lausanne '93,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1993-10-09,Swiss Cup - Lötschental '93,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1993-11-04,UIAA Worldcup - Nürnberg 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1993-11-20,Swiss Cup - Bern '93,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1993-12-09,UIAA Worldcup - Laval 1993,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1994-02-22,CTS-Cup Sargans/Regionalwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-03-05,Simmentaler Klettercup/Regionalwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-04-15,UIAA Worldcup - Villach 1994,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1994-04-16,Regionalwettkampf Zweisimmen,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-04-28,UIAA Worldcup - Moscow 1994,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1994-06-18,Swiss Cup Brunnen '94,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-07-02,Swiss Cup Laax '94,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-07-20,UIAA Masters - Serre Chevalier 1994,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1994-07-27,UIAA Masters - L'Argentiere 1994,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1994-08-20,Devers Open,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-08-27,Bündner Meisterschaften,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-09-09,UIAA Masters - Rock Masters Arco 1994,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1994-09-24,Zürcher Unterländer Kletterwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1994-10-21,UIAA Youth Worldchampionship - Leipzig 1994,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1994-11-17,UIAA Worldcup - Aix-les-Bains 1994,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1994-11-25,UIAA Worldcup - Birmingham 1994,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1994-11-30,Swiss Cup Bern '94,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-04-01,Swiss Cup Chur '95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-04-06,UIAA Worldcup - Frankfurt 1995,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1995-05-05,UIAA Worldchampionchip - Genève 1995,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1995-05-20,Swiss Cup Mettembert '95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-07-28,UIAA Masters - Serre Chevalier 1995,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1995-07-29,Swiss Cup Wengen 95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-08-06,UIAA Bouldering Masters - L'Argentier 1995,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1995-08-19,Swiss-Cup Interlaken 95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-09-02,Bündner Klettermeisterschaften 95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-09-08,Schweizer Meisterschaft - Lugano '95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-09-09,UIAA Masters - Rock Masters Arco 1995,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
1995-09-23,Zücher Unterländer Kletterwettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-10-05,UIAA Youth Worldchampionship - Laval 1995,IFSC,World major youth,Youth,IFSC_WORLD_YOUTH,"direct Youth World evidence; transition context, not adult WC evidence",True,False
1995-10-21,UIAA Worldcup - Moscow 1995,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1995-11-11,Swiss Cup St.Légier 95,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-11-24,UIAA Worldcup - Birmingham 1995,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1995-12-02,Swiss Cup Bern-Niederwangen,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1995-12-07,UIAA Worldcup - Aix-les-Bains 1995,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
1996-01-27,European Championship - Paris 1996,IFSC,Continental championship,Senior / Open,IFSC_REG:EUROPE,direct IFSC regional/continental evidence,True,False
1996-03-30,Swiss Cup Chur 96,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-05-31,Zürcher Unterländer Wettkampf,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-06-01,Schweizer Meisterschaft Bülach,SAC-CAS,Regional / local,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
1996-06-07,European Youth Cup - Dortmund (GER) 1996,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
