coaching_unlock_rank,problem_id,coaching_athletes_unlocked,coaching_observations_unlocked,physical_observations_unlocked,board_observations_unlocked
1,CEC|event:224|route:22447,8,145,103,42
2,CEC|event:224|route:22448,8,145,103,42
3,CEC|event:224|route:23235,8,145,103,42
4,CEC|event:224|route:23232,8,145,103,42
5,CEC|event:224|route:22445,8,145,103,42
6,CEC|event:224|route:22446,8,145,103,42
7,CEC|event:224|route:22449,8,145,103,42
8,CEC|event:224|route:22450,8,145,103,42
9,CEC|event:224|route:23233,8,145,103,42
10,CEC|event:224|route:23234,8,145,103,42
11,CEC|event:153|route:13973,7,210,152,58
12,CEC|event:153|route:13974,7,210,152,58
13,CEC|event:153|route:13970,7,210,152,58
14,CEC|event:153|route:13971,7,210,152,58
15,CEC|event:153|route:13972,7,210,152,58
16,CEC|event:211|route:19823,7,184,132,52
17,CEC|event:211|route:19822,7,184,132,52
18,CEC|event:211|route:19824,7,184,132,52
19,CEC|event:211|route:19826,7,184,132,52
20,CEC|event:211|route:19825,7,184,132,52
21,CEC|event:192|route:17730,7,170,123,47
22,CEC|event:192|route:17726,7,170,123,47
23,CEC|event:192|route:17727,7,170,123,47
24,CEC|event:192|route:17728,7,170,123,47
25,CEC|event:192|route:17729,7,170,123,47
26,CEC|event:172|route:15445,6,208,152,56
27,CEC|event:172|route:15447,6,208,152,56
28,CEC|event:172|route:15448,6,208,152,56
29,CEC|event:172|route:15446,6,208,152,56
30,CEC|event:172|route:15444,6,208,152,56
31,CEC|event:123|route:9706,6,163,118,45
32,CEC|event:123|route:9710,6,163,118,45
33,CEC|event:123|route:9707,6,163,118,45
34,CEC|event:123|route:9708,6,163,118,45
35,CEC|event:123|route:9709,6,163,118,45
36,CEC|event:123|route:9705,6,163,118,45
37,CEC|event:123|route:9739,5,145,104,41
38,CEC|event:123|route:9738,5,145,104,41
39,CEC|event:123|route:9740,5,145,104,41
40,CEC|event:123|route:9737,5,145,104,41
41,CEC|event:157|route:13771,5,139,103,36
42,CEC|event:157|route:13772,5,139,103,36
43,CEC|event:157|route:13770,5,139,103,36
44,CEC|event:157|route:13769,5,139,103,36
45,CEC|event:157|route:13773,5,139,103,36
46,CEC|event:157|route:13774,5,139,103,36
47,CEC|event:89|route:7012,5,67,51,16
48,CEC|event:89|route:7007,5,67,51,16
49,CEC|event:89|route:7011,5,67,51,16
50,CEC|event:89|route:7008,5,67,51,16
51,CEC|event:89|route:7009,5,67,51,16
52,CEC|event:89|route:7010,5,67,51,16
53,CEC|event:217|route:20934,5,56,39,17
54,CEC|event:217|route:20935,5,56,39,17
55,CEC|event:217|route:20936,5,56,39,17
56,CEC|event:217|route:20937,5,56,39,17
57,CEC|event:217|route:20938,5,56,39,17
58,CEC|event:217|route:20939,5,56,39,17
59,CEC|event:211|route:19897,4,125,90,35
60,CEC|event:211|route:19896,4,125,90,35
61,CEC|event:211|route:19895,4,125,90,35
62,CEC|event:211|route:19894,4,125,90,35
63,CEC|event:192|route:17863,4,117,83,34
64,CEC|event:192|route:17862,4,117,83,34
65,CEC|event:192|route:17864,4,117,83,34
66,CEC|event:192|route:17865,4,117,83,34
67,CEC|event:121|route:9532,4,113,80,33
68,CEC|event:121|route:9530,4,113,80,33
69,CEC|event:121|route:9528,4,113,80,33
70,CEC|event:121|route:9529,4,113,80,33
71,CEC|event:121|route:9531,4,113,80,33
72,CEC|event:224|route:23256,4,54,41,13
73,CEC|event:224|route:23257,4,54,41,13
74,CEC|event:224|route:23258,4,54,41,13
75,CEC|event:224|route:23259,4,54,41,13
76,CEC|event:225|route:22590,3,93,66,27
77,CEC|event:225|route:22591,3,93,66,27
78,CEC|event:225|route:22592,3,93,66,27
79,CEC|event:225|route:22593,3,93,66,27
80,CEC|event:225|route:22594,3,93,66,27
81,CEC|event:153|route:14000,3,88,68,20
82,CEC|event:153|route:14001,3,88,68,20
83,CEC|event:153|route:14002,3,88,68,20
84,CEC|event:153|route:14003,3,88,68,20
85,CEC|event:123|route:9787,3,87,59,28
86,CEC|event:123|route:9788,3,87,59,28
87,CEC|event:123|route:9785,3,87,59,28
88,CEC|event:123|route:9786,3,87,59,28
89,CEC|event:98|route:7599,3,69,49,20
90,CEC|event:98|route:7602,3,69,49,20
91,CEC|event:98|route:7603,3,69,49,20
92,CEC|event:98|route:8045,3,69,49,20
93,CEC|event:98|route:7600,3,69,49,20
94,CEC|event:98|route:7601,3,69,49,20
95,CEC|event:98|route:8044,3,69,49,20
96,CEC|event:98|route:8046,3,69,49,20
97,CEC|event:123|route:9719,3,67,51,16
98,CEC|event:123|route:9722,3,67,51,16
99,CEC|event:123|route:9745,3,67,51,16
100,CEC|event:123|route:9746,3,67,51,16
101,CEC|event:123|route:9748,3,67,51,16
102,CEC|event:123|route:9717,3,67,51,16
103,CEC|event:123|route:9718,3,67,51,16
104,CEC|event:123|route:9720,3,67,51,16
105,CEC|event:123|route:9721,3,67,51,16
106,CEC|event:123|route:9747,3,67,51,16
107,CEC|event:217|route:20970,3,46,32,14
108,CEC|event:217|route:20971,3,46,32,14
109,CEC|event:217|route:20972,3,46,32,14
110,CEC|event:217|route:20973,3,46,32,14
111,CEC|event:225|route:22611,2,84,59,25
112,CEC|event:225|route:22608,2,84,59,25
113,CEC|event:225|route:22609,2,84,59,25
114,CEC|event:225|route:22610,2,84,59,25
115,IFSC|event:1418|route:17166,2,78,50,28
116,IFSC|event:1418|route:17165,2,78,50,28
117,IFSC|event:1418|route:17167,2,78,50,28
118,IFSC|event:1418|route:17168,2,78,50,28
119,IFSC|event:1418|route:17169,2,78,50,28
120,IFSC|event:1418|route:17170,2,78,50,28
121,IFSC|event:1531|route:20493,2,66,47,19
122,IFSC|event:1531|route:20494,2,66,47,19
123,IFSC|event:1531|route:20495,2,66,47,19
124,IFSC|event:1531|route:20496,2,66,47,19
125,IFSC|event:1531|route:20497,2,66,47,19
126,IFSC|event:1531|route:20488,2,66,47,19
