priority_rank,competition_id,problem_id,source_event_id,source_round_id,boulder_number,leaderboard_route_id,event_date,event_name,source_scope,source_url,event_tier,category,round_name,linked_outcomes,linked_athletes,zone_rate,top_rate,rows_with_both_board_metrics,mean_physical_metrics_available,outcome_spread,priority_rule,tag_status
1,CEC|event:224,CEC|event:224|route:23232,224,4451,1,23232,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4451/results,National championship youth,U19 Male,Semi-Finals,7,7,0.5714285714285714,0.2857142857142857,3,9.142857142857142,0.4489795918367347,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
2,CEC|event:224,CEC|event:224|route:22447,224,4420,3,22447,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,0.8571428571428571,0.2857142857142857,3,9.142857142857142,0.326530612244898,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
3,CEC|event:224,CEC|event:224|route:23235,224,4451,4,23235,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4451/results,National championship youth,U19 Male,Semi-Finals,7,7,1.0,0.42857142857142855,3,9.142857142857142,0.24489795918367344,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
4,CEC|event:224,CEC|event:224|route:22448,224,4420,4,22448,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,1.0,0.7142857142857143,3,9.142857142857142,0.20408163265306123,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
5,CEC|event:224,CEC|event:224|route:22450,224,4420,6,22450,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,1.0,0.2857142857142857,3,9.142857142857142,0.20408163265306123,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
6,CEC|event:224,CEC|event:224|route:23234,224,4451,3,23234,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4451/results,National championship youth,U19 Male,Semi-Finals,7,7,0.2857142857142857,0.0,3,9.142857142857142,0.20408163265306123,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
7,CEC|event:224,CEC|event:224|route:22446,224,4420,2,22446,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,1.0,0.8571428571428571,3,9.142857142857142,0.12244897959183677,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
8,CEC|event:224,CEC|event:224|route:23233,224,4451,2,23233,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4451/results,National championship youth,U19 Male,Semi-Finals,7,7,1.0,0.8571428571428571,3,9.142857142857142,0.12244897959183677,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
9,CEC|event:224,CEC|event:224|route:22445,224,4420,1,22445,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,1.0,1.0,3,9.142857142857142,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
10,CEC|event:224,CEC|event:224|route:22449,224,4420,5,22449,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,CEC,/api/v1/category_rounds/4420/results,National championship youth,U19 Male,Qualification,7,7,1.0,1.0,3,9.142857142857142,0.0,"continuous ordering: reusable athletes, outcome spread, both-board coverage, physical-metric coverage, recency; no inclusion cutoff",human_demand_tags_needed
