session_task_order,review_wave,boulder_uid,event_date,event_name,round_group,gender,boulder_number,priority_rank,coaching_unlock_rank,coaching_unlock_source_items,coaching_unlock_athletes,coaching_unlock_observations,coaching_unlock_physical_observations,coaching_unlock_board_observations,priority_top_given_zone_pairs,priority_zone_pairs,requested_independent_reviewers,required_review_scope,task_status
1,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b3,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,3,20.0,1.0,2,8.0,145.0,103.0,42.0,2,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
2,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b4,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,4,21.0,2.0,2,8.0,145.0,103.0,42.0,2,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
3,A_same_tasks_independent_calibration,round-703bcfbebd3603b1c258-b4,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Semi-final,Men,4,22.0,3.0,2,8.0,145.0,103.0,42.0,2,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
4,A_same_tasks_independent_calibration,round-703bcfbebd3603b1c258-b1,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Semi-final,Men,1,61.0,4.0,2,8.0,145.0,103.0,42.0,0,2,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
5,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b1,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,1,104.0,5.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
6,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b2,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,2,105.0,6.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
7,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b5,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,5,106.0,7.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
8,A_same_tasks_independent_calibration,round-187ab0005c9261bc719f-b6,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Qualification,Men,6,107.0,8.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
9,A_same_tasks_independent_calibration,round-703bcfbebd3603b1c258-b2,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Semi-final,Men,2,108.0,9.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
10,A_same_tasks_independent_calibration,round-703bcfbebd3603b1c258-b3,2026-05-14,2025-26 Youth Nationals - Boulder & Lead,Semi-final,Men,3,109.0,10.0,2,8.0,145.0,103.0,42.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
11,B_high_unlock_extension,round-957fd2e8e6a1ec265852-b4,2025-11-08,D1 Bloc #1 Délire Ste-Foy,Qualification,Men,4,1.0,11.0,2,7.0,210.0,152.0,58.0,9,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
12,B_high_unlock_extension,round-957fd2e8e6a1ec265852-b5,2025-11-08,D1 Bloc #1 Délire Ste-Foy,Qualification,Men,5,3.0,12.0,2,7.0,210.0,152.0,58.0,8,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
13,B_high_unlock_extension,round-957fd2e8e6a1ec265852-b1,2025-11-08,D1 Bloc #1 Délire Ste-Foy,Qualification,Men,1,52.0,13.0,2,7.0,210.0,152.0,58.0,0,8,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
14,B_high_unlock_extension,round-957fd2e8e6a1ec265852-b2,2025-11-08,D1 Bloc #1 Délire Ste-Foy,Qualification,Men,2,84.0,14.0,2,7.0,210.0,152.0,58.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
15,B_high_unlock_extension,round-957fd2e8e6a1ec265852-b3,2025-11-08,D1 Bloc #1 Délire Ste-Foy,Qualification,Men,3,85.0,15.0,2,7.0,210.0,152.0,58.0,0,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
16,B_high_unlock_extension,round-7d0d90cb6b769ea63b3d-b2,2026-03-21,Championnat Provincial D1 Bloc,Qualification,Men,2,9.0,16.0,2,7.0,184.0,132.0,52.0,4,0,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
17,B_high_unlock_extension,round-7d0d90cb6b769ea63b3d-b1,2026-03-21,Championnat Provincial D1 Bloc,Qualification,Men,1,18.0,17.0,2,7.0,184.0,132.0,52.0,2,3,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
18,B_high_unlock_extension,round-7d0d90cb6b769ea63b3d-b3,2026-03-21,Championnat Provincial D1 Bloc,Qualification,Men,3,56.0,18.0,2,7.0,184.0,132.0,52.0,0,4,2,directions_and_three_core_demands; detailed_tags_optional,human_review_pending
