season,organization,program,athlete_name,membership_status,responsibility,source,source_as_of
2025-2026,EEQ,SP1,Félixe Cameron-Langlois,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP1,Arno Lemele,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP1,Noah Roberts,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP1,Henri Dessureault Moisan,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP1,Arthur Brunel Lapointe,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Guillaume Moreau,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Éva-Fei Brouillard,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Thomas Haineault,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Alexandre Paquette,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Émile Aubin,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Mica Duval,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP2,Esteban Caruso,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Ryan Nolen Bou,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Norah Kelly Bou,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Henri Cowan,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Anabelle Gonthier,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Julia Frutiger,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,SP3,Charlotte Rivera,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
2025-2026,EEQ,AS3,Jaqueline Minlafond,Member,Direct EEQ responsibility,User-confirmed roster,2026-08-02
