event_name,event_date,source_scope,source_event_id,round_group,confirmed_procedure,pool
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Qualification,Onsight,Boulder_Men
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Qualification,Onsight,Boulder_Women
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Semi-final,Onsight,Boulder_Men
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Semi-final,Onsight,Boulder_Women
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Final,Onsight,Boulder_Men
World Climbing Pan America Series Salt Lake City 2026,2026-07-25,IFSC,1531,Final,Onsight,Boulder_Women
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Qualification,Flash,Boulder_Men
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Qualification,Flash,Boulder_Women
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Semi-final,Onsight,Boulder_Men
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Semi-final,Onsight,Boulder_Women
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Final,Onsight,Boulder_Men
World Climbing Youth Championship Arco 2026,2026-07-18,IFSC,1522,Final,Onsight,Boulder_Women
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Qualification,Onsight,Boulder_Men
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Qualification,Onsight,Boulder_Women
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Semi-final,Onsight,Boulder_Men
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Semi-final,Onsight,Boulder_Women
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Final,Onsight,Boulder_Men
World Climbing Europe Championship Barcelona 2026,2026-07-17,IFSC,1503,Final,Onsight,Boulder_Women
12 x 12 - Boulder Challenge - Juli - Sommeredition ☀️,2026-07-16,VL-GLOBAL,639,Hauptrunde,Unknown,Boulder_Men
12 x 12 - Boulder Challenge - Juli - Sommeredition ☀️,2026-07-16,VL-GLOBAL,639,Hauptrunde,Unknown,Boulder_Women
DENEME TEST,2026-07-15,VL-GLOBAL,411,Sıralama,Unknown,Boulder_Men
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Qualification,Unknown,Boulder_Men
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Qualification,Unknown,Boulder_Women
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Semi-final,Unknown,Boulder_Men
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Semi-final,Unknown,Boulder_Women
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Final,Onsight,Boulder_Men
Goat Games Reborn 2026 Main Event,2026-07-11,VL-GLOBAL,636,Final,Onsight,Boulder_Women
Bloc Shop Open,2026-07-04,VL-GLOBAL,545,Qualification,Unknown,Boulder_Men
Bloc Shop Open,2026-07-04,VL-GLOBAL,545,Qualification,Unknown,Boulder_Women
