intake_order,review_priority,review_priority_reason,source_record_id,event_id,round,round_order,category_round_id,video_id,official_title,duration_seconds,event,event_date,discipline,gender,category,age_class,official_result_rows,official_channel,official_youtube_url,official_oembed_url,official_event_roster_url,official_round_results_url,official_round_results_api_url,duration_basis,duration_metadata_field,duration_metadata_url,duration_metadata_observed_at_utc,duration_video_details_sha256,metadata_status,metadata_observed_at_utc,acquisition_method,acquisition_status,acquisition_error,planned_local_path,local_path,sha256,review_ready,identity_timing_use
1,1,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10675,1480,Semi-final,1,10675,SjgO1faEass,Men's Boulder semi-final | Prague 2026,10125,World Climbing Series Prague 2026,2026-06-03,Boulder,Men,Boulder Men,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=SjgO1faEass,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DSjgO1faEass&format=json,https://ifsc.results.info/#/event/1480,https://ifsc.results.info/#/event/1480/cr/10675,https://ifsc.results.info/api/v1/category_rounds/10675/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=SjgO1faEass&hl=en,2026-08-01T06:58:30Z,22c240b16e5ffdec7913d8ee6599d535039f97958a28adad7ebffd0116a85774,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_prague_men_boulder_semi_final_SjgO1faEass.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
2,2,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10677,1480,Final,2,10677,kM4hS0yeqqI,Men's Boulder final | Prague 2026,8662,World Climbing Series Prague 2026,2026-06-03,Boulder,Men,Boulder Men,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=kM4hS0yeqqI,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DkM4hS0yeqqI&format=json,https://ifsc.results.info/#/event/1480,https://ifsc.results.info/#/event/1480/cr/10677,https://ifsc.results.info/api/v1/category_rounds/10677/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=kM4hS0yeqqI&hl=en,2026-08-01T06:58:30Z,5b359d38e90179c3a0a852b866850dbcd7d6b2b09579364e891b6e09eb15adb1,Verified by public YouTube oEmbed,2026-08-01T04:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_prague_men_boulder_final_kM4hS0yeqqI.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
3,3,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10676,1480,Semi-final,1,10676,zidC-G0uC8E,Women's Boulder semi-final | Prague 2026,10035,World Climbing Series Prague 2026,2026-06-03,Boulder,Women,Boulder Women,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=zidC-G0uC8E,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DzidC-G0uC8E&format=json,https://ifsc.results.info/#/event/1480,https://ifsc.results.info/#/event/1480/cr/10676,https://ifsc.results.info/api/v1/category_rounds/10676/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=zidC-G0uC8E&hl=en,2026-08-01T06:58:30Z,c3b415735b4e7615d67ddeec08219854484f770f94ceac9904919157bd91ff57,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_prague_women_boulder_semi_final_zidC-G0uC8E.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
4,4,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10678,1480,Final,2,10678,KguHXsPh6q0,Women's Boulder final | Prague 2026,7609,World Climbing Series Prague 2026,2026-06-03,Boulder,Women,Boulder Women,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=KguHXsPh6q0,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKguHXsPh6q0&format=json,https://ifsc.results.info/#/event/1480,https://ifsc.results.info/#/event/1480/cr/10678,https://ifsc.results.info/api/v1/category_rounds/10678/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=KguHXsPh6q0&hl=en,2026-08-01T06:58:30Z,b5e5c5202429a1669fffd6042938037312a711144e4a863794017efeeba180fb,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_prague_women_boulder_final_KguHXsPh6q0.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
5,5,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10669,1479,Semi-final,1,10669,sfA6nto-LFw,Men's Boulder semi-final | Comunidad de Madrid 2026,10140,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Boulder,Men,Boulder Men,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=sfA6nto-LFw,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DsfA6nto-LFw&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10669,https://ifsc.results.info/api/v1/category_rounds/10669/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=sfA6nto-LFw&hl=en,2026-08-01T06:58:30Z,eb93409d337b853f3862cff5462e692f98204d1591c4af7a35ec8a666e6576b9,Verified by public YouTube oEmbed,2026-08-01T04:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_men_boulder_semi_final_sfA6nto-LFw.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
6,6,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10671,1479,Final,2,10671,vrjF_eFE09k,Men's Boulder final | Comunidad de Madrid 2026,7715,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Boulder,Men,Boulder Men,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=vrjF_eFE09k,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DvrjF_eFE09k&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10671,https://ifsc.results.info/api/v1/category_rounds/10671/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=vrjF_eFE09k&hl=en,2026-08-01T06:58:30Z,abde15cf562d7ec3fc1a3c44b4f451486c43db309bd04629d1da1fb0c4c517c0,Verified by public YouTube oEmbed,2026-08-01T04:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_men_boulder_final_vrjF_eFE09k.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
7,7,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10670,1479,Semi-final,1,10670,cN3uYjZfkr4,Women's Boulder semi-final | Comunidad de Madrid 2026,9510,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Boulder,Women,Boulder Women,Senior / Open,24,World Climbing,https://www.youtube.com/watch?v=cN3uYjZfkr4,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DcN3uYjZfkr4&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10670,https://ifsc.results.info/api/v1/category_rounds/10670/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=cN3uYjZfkr4&hl=en,2026-08-01T06:58:30Z,82544c45f0fb90846fb2fa7eb380a222f4b6b3163fd5ce614543da1c02e834d7,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_women_boulder_semi_final_cN3uYjZfkr4.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
8,8,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10672,1479,Final,2,10672,oaOE27vV9tU,Women's Boulder final | Comunidad de Madrid 2026,7353,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Boulder,Women,Boulder Women,Senior / Open,8,World Climbing,https://www.youtube.com/watch?v=oaOE27vV9tU,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DoaOE27vV9tU&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10672,https://ifsc.results.info/api/v1/category_rounds/10672/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=oaOE27vV9tU&hl=en,2026-08-01T06:58:30Z,80603ae1393612377934bade6a7a4d6106586963d1489241ca0f56723df7e7ce,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_women_boulder_final_oaOE27vV9tU.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
9,9,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10382,1479,Qualification,0,10382,KHKXie6mH98,Men's Speed qualification | Comunidad de Madrid 2026,4665,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Speed,Men,Speed Men,Senior / Open,65,World Climbing,https://www.youtube.com/watch?v=KHKXie6mH98,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKHKXie6mH98&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10382,https://ifsc.results.info/api/v1/category_rounds/10382/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=KHKXie6mH98&hl=en,2026-08-01T06:58:30Z,508fc97c87f45974dc962217724d6743f7fe88ebb1bc984f8d3e213434e8e88a,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_men_speed_qualification_KHKXie6mH98.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
10,10,User-prioritized Prague/Madrid/Innsbruck evidence first; then Keqiao/Bern/Chamonix,WCVID-CR10383,1479,Qualification,0,10383,-pE_ardm7xQ,Women's Speed qualification | Comunidad de Madrid 2026,3620,World Climbing Series Comunidad de Madrid 2026,2026-05-28,Speed,Women,Speed Women,Senior / Open,48,World Climbing,https://www.youtube.com/watch?v=-pE_ardm7xQ,https://www.youtube.com/oembed?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D-pE_ardm7xQ&format=json,https://ifsc.results.info/#/event/1479,https://ifsc.results.info/#/event/1479/cr/10383,https://ifsc.results.info/api/v1/category_rounds/10383/results,Exact public YouTube videoDetails.lengthSeconds,ytInitialPlayerResponse.videoDetails.lengthSeconds,https://www.youtube.com/watch?v=-pE_ardm7xQ&hl=en,2026-08-01T06:58:30Z,7647efd26e9c3cabf6f3b1d6c0f7eabc9891995258be35f960dc9c80e49285bb,Verified by public YouTube oEmbed,2026-08-01T06:00:00Z,Optional public yt-dlp; no cookies or credentials,NOT_ATTEMPTED_OR_UNAVAILABLE,Direct URL review does not require a local download,tmp/video_review_media_2026/2026_comunidad_de_madrid_women_speed_qualification_-pE_ardm7xQ.mp4,,,True,"Weighted evidence only; preserve clip time, round order, roster and results"
