window_id,pass_name,event_id,category_round_id,event,gender,round,video_id,youtube_url,start_seconds,end_seconds,fps,source_candidate_id,source_discovery_window_id,status,source_checkpoint_id,source_checkpoint_contract_sha256,source_window_plan_sha256,media_download_required,production_use_allowed,athlete_scoring_allowed,athlete_comparison_allowed,elo_update_allowed
BAD26-CR10670-cN3uYjZfkr4-D001,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,0,1359,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D002,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,1359,2717,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D003,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,2717,4076,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D004,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,4076,5434,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D005,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,5434,6793,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D006,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,6793,8151,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10670-cN3uYjZfkr4-D007,discovery,1479,10670,World Climbing Series Comunidad de Madrid 2026,Women,Semi-final,cN3uYjZfkr4,https://www.youtube.com/watch?v=cN3uYjZfkr4,8151,9510,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10672-oaOE27vV9tU-D001,discovery,1479,10672,World Climbing Series Comunidad de Madrid 2026,Women,Final,oaOE27vV9tU,https://www.youtube.com/watch?v=oaOE27vV9tU,0,1471,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10672-oaOE27vV9tU-D002,discovery,1479,10672,World Climbing Series Comunidad de Madrid 2026,Women,Final,oaOE27vV9tU,https://www.youtube.com/watch?v=oaOE27vV9tU,1471,2941,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
BAD26-CR10672-oaOE27vV9tU-D003,discovery,1479,10672,World Climbing Series Comunidad de Madrid 2026,Women,Final,oaOE27vV9tU,https://www.youtube.com/watch?v=oaOE27vV9tU,2941,4412,0.25,,,completed,event-1479,24568cc893033b7e51bb0c040da2546460260b508cbd710a75cbad10381dfa3c,ab7f83cb7b23942bf26b23ff71b225072c79f768c751cd330c52d8fea57715c3,False,False,False,False,False
